user_id,rank,movie_id
1,1,1625
1,2,1606
1,3,1026
1,4,1501
1,5,1351
1,6,1575
1,7,1534
1,8,1312
1,9,1510
1,10,1153
10,1,1187
10,2,146
10,3,1499
10,4,1649
10,5,1563
10,6,661
10,7,1360
10,8,1349
10,9,706
10,10,1617
100,1,1544
100,2,718
100,3,1196
100,4,1512
100,5,1508
100,6,1674
100,7,1342
100,8,601
100,9,1013
100,10,1481
101,1,1463
101,2,1343
101,3,1650
101,4,329
101,5,1553
101,6,1176
101,7,1605
101,8,1486
101,9,1405
101,10,698
102,1,600
102,2,1271
102,3,1004
102,4,1676
102,5,330
102,6,1677
102,7,1439
102,8,1458
102,9,1077
102,10,158
103,1,1362
103,2,1443
103,3,1186
103,4,899
103,5,953
103,6,730
103,7,1244
103,8,548
103,9,1169
103,10,1308
104,1,247
104,2,1370
104,3,46
104,4,901
104,5,1407
104,6,913
104,7,1369
104,8,992
104,9,805
104,10,593
105,1,1481
105,2,621
105,3,704
105,4,1545
105,5,91
105,6,599
105,7,1094
105,8,1682
105,9,1508
105,10,628
106,1,1356
106,2,852
106,3,1502
106,4,992
106,5,1663
106,6,795
106,7,1018
106,8,987
106,9,1339
106,10,718
107,1,1519
107,2,1214
107,3,600
107,4,334
107,5,502
107,6,836
107,7,941
107,8,1328
107,9,921
107,10,701
108,1,1360
108,2,607
108,3,1625
108,4,1371
108,5,119
108,6,1553
108,7,563
108,8,1575
108,9,688
108,10,1510
109,1,701
109,2,1564
109,3,1539
109,4,1064
109,5,857
109,6,1161
109,7,1416
109,8,1597
109,9,860
109,10,641
11,1,1509
11,2,1024
11,3,858
11,4,1502
11,5,1559
11,6,1547
11,7,1236
11,8,1330
11,9,1351
11,10,532
110,1,1321
110,2,1656
110,3,1427
110,4,911
110,5,806
110,6,1335
110,7,1487
110,8,1467
110,9,1594
110,10,184
111,1,1253
111,2,1160
111,3,1075
111,4,1501
111,5,715
111,6,874
111,7,791
111,8,846
111,9,1030
111,10,915
112,1,1602
112,2,1459
112,3,1064
112,4,1293
112,5,1299
112,6,620
112,7,1340
112,8,1078
112,9,1160
112,10,630
113,1,1670
113,2,1579
113,3,1594
113,4,1511
113,5,1485
113,6,1212
113,7,792
113,8,843
113,9,1189
113,10,1636
114,1,1663
114,2,1169
114,3,921
114,4,1614
114,5,330
114,6,1467
114,7,1421
114,8,979
114,9,1161
114,10,225
115,1,1526
115,2,1333
115,3,1031
115,4,1567
115,5,1386
115,6,362
115,7,847
115,8,706
115,9,296
115,10,1342
116,1,861
116,2,745
116,3,600
116,4,247
116,5,1669
116,6,1212
116,7,1131
116,8,1603
116,9,666
116,10,1032
117,1,848
117,2,1603
117,3,1554
117,4,280
117,5,1544
117,6,361
117,7,1172
117,8,1453
117,9,1088
117,10,424
118,1,1507
118,2,622
118,3,1316
118,4,1435
118,5,1546
118,6,773
118,7,1349
118,8,731
118,9,1563
118,10,1517
119,1,1571
119,2,1424
119,3,1556
119,4,437
119,5,1021
119,6,353
119,7,1200
119,8,701
119,9,1174
119,10,113
12,1,1378
12,2,1674
12,3,837
12,4,1367
12,5,1389
12,6,1144
12,7,1354
12,8,869
12,9,1370
12,10,movie_id
120,1,1165
120,2,893
120,3,1212
120,4,562
120,5,704
120,6,730
120,7,987
120,8,1195
120,9,1279
120,10,1226
121,1,1427
121,2,1508
121,3,1546
121,4,1184
121,5,1333
121,6,1354
121,7,1349
121,8,624
121,9,607
121,10,1569
122,1,957
122,2,1379
122,3,1505
122,4,674
122,5,1681
122,6,1658
122,7,893
122,8,1237
122,9,464
122,10,1662
123,1,1443
123,2,1579
123,3,1362
123,4,467
123,5,976
123,6,36
123,7,1402
123,8,1373
123,9,727
123,10,556
124,1,1481
124,2,1369
124,3,974
124,4,397
124,5,1480
124,6,40
124,7,1429
124,8,1424
124,9,1080
124,10,1484
125,1,1331
125,2,545
125,3,1354
125,4,1517
125,5,1169
125,6,1627
125,7,1472
125,8,1582
125,9,1115
125,10,1001
126,1,700
126,2,1346
126,3,775
126,4,1637
126,5,962
126,6,1612
126,7,859
126,8,1092
126,9,671
126,10,1478
127,1,745
127,2,1368
127,3,957
127,4,803
127,5,32
127,6,463
127,7,681
127,8,1374
127,9,1253
127,10,901
128,1,1547
128,2,1357
128,3,1505
128,4,1531
128,5,84
128,6,854
128,7,1574
128,8,1259
128,9,1561
128,10,1446
129,1,1112
129,2,562
129,3,1568
129,4,1354
129,5,1627
129,6,1458
129,7,247
129,8,1625
129,9,1418
129,10,983
13,1,1669
13,2,1351
13,3,1670
13,4,1423
13,5,861
13,6,1499
13,7,1169
13,8,600
13,9,1579
13,10,1495
130,1,1540
130,2,1351
130,3,734
130,4,75
130,5,1376
130,6,1175
130,7,861
130,8,1029
130,9,999
130,10,1675
131,1,718
131,2,1547
131,3,1189
131,4,1628
131,5,825
131,6,1220
131,7,1151
131,8,387
131,9,973
131,10,1067
132,1,536
132,2,1199
132,3,370
132,4,1077
132,5,1099
132,6,1326
132,7,838
132,8,1203
132,9,955
132,10,728
133,1,1267
133,2,75
133,3,1610
133,4,1308
133,5,1383
133,6,1352
133,7,1410
133,8,1645
133,9,1169
133,10,1406
134,1,1617
134,2,453
134,3,1342
134,4,1501
134,5,274
134,6,1576
134,7,1381
134,8,124
134,9,396
134,10,104
135,1,1163
135,2,1659
135,3,711
135,4,1421
135,5,564
135,6,1245
135,7,1343
135,8,495
135,9,1482
135,10,1572
136,1,1186
136,2,1632
136,3,996
136,4,771
136,5,1372
136,6,386
136,7,74
